section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"Ph.D., Economics",Michigan State University,"East Lansing, MI",2009,2014,"Labor Economics, Economics of Education, Applied Econometrics",University Distinguished Fellowship,NA
education,TRUE,"M.S., Economics",Michigan State University,"East Lansing, MI",2009,2013,"Labor Economics, Economics of Education, Applied Econometrics",University Distinguished Fellowship,NA
education,TRUE,"B.S., Economics (minor Mathematics)",University of South Carolina,"Columbia, SC",2005,2009,Summa Cum Laude,NA,NA
research_positions,FALSE,Research Assistant,Economics Department,Michigan State University,2014,2014,Research Assistant examining impacts of SNAP policies on caseloads for Professor Stacy Dickert-Conlin working with Laura Tiehen and Katie Fitzpatrick at USDA ERS,NA,NA
research_positions,FALSE,Research Assistant,Economics Department,Michigan State University,2010,2014,"Research Assistant writing code for simulations on performance of teacher value-added estimators for Professors Cassandra Guarino, Mark Reckase, and Jeffrey  Wooldridge",NA,NA
research_positions,FALSE,Summer Associate,RAND Corporation,"Pittsburgh, PA",2011,2011,Summer Associate with Drs. JR Lockwood and Daniel McCaffrey on teacher value-added methods,NA,NA
research_positions,TRUE,Consultant,Service Delivery Indicators team,World Bank Group,2014,2015,Analyzed data and authored reports and journal articles on education service delivery in Sub-Saharan Africa,NA,NA
research_positions,TRUE,Economist,Food Economics Division,USDA Economic Research Service,2015,2019,Economist studying the relationship between SNAP participation and work,"Linked millions of SNAP administrative records on participation to Census Bureau surveys (ACS, CPS, SIPP) as part of initiative to link administrative records",NA
research_positions,TRUE,Quantitative Lead,Global Education Policy Dashboard project,World Bank Group,2019,2021,"Leading psychometric analysis of survey instruments, power calculation, sampling, data cleaning, and analysis of results for the Global Education Policy Dashboard project. ",Developed GEPD data explorer Shiny R application,Member of the Education Analytics team that produced the numbers for the Learning Poverty initiative at the World Bank
research_positions,TRUE,Data Scientist,Development Data Group,World Bank Group,2020,2024,"Co-authored three chapters for SDG Atlas 2020 publication (SDG 2, 4, and 8).    ",Leading data work for Statistical Performance Indicators (SPI) project.,Ongoing research on WDI inclusion criteria and World Bank income classifications.
research_positions,TRUE,Senior Economist,People Chief Economist Office,World Bank Group,2024,current,"Human Capital Index Plus (HCI+)","Flagship reports related to human capital","Minimum data package for children, adolescents, and youth"
teaching_positions,TRUE,Intermediate Microeconomics,Michigan State University,N/A,2014,2014,Led an online course on intermediate microeconomics,NA,NA
teaching_positions,TRUE,R/Rstudio & Github Training,Development Data Group,World Bank Group,2021,2021,Co-leading and Organizing 101 course on R/R-studio & Github for DECIS staff.,NA,NA
