section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
academic_articles,TRUE,Data use in social science and medical articles around the world,PNAS Nexus,N/A,2025,2025,"Authored with Lucas Kitzmüller, Xiaoyu Wang, Daniel Gerszon Mahler, Umar Serajuddin.",Cited by 0 (OpenAlex),[link](https://doi.org/10.1093/pnasnexus/pgaf196)
academic_articles,TRUE,Statistical performance indicators and index—a new tool to measure country statistical capacity,Scientific Data,N/A,2023,2023,"Authored with Hai‐Anh Dang, John Pullinger, Umar Serajuddin.",Cited by 33 (OpenAlex),[link](https://doi.org/10.1038/s41597-023-01971-0)
academic_articles,TRUE,The Role of Generic Price Look-Up Code in WIC Benefit Redemptions,Journal of Public Policy & Marketing,N/A,2022,2022,"Authored with Junzhou Zhang, Qi Zhang, Chuanyi Tang, Kayoung Park, Kristina Harrison, Patrick W. McLaughlin.",Cited by 6 (OpenAlex),[link](https://doi.org/10.1177/07439156221092418)
academic_articles,TRUE,Will Every Child be Able to Read by 2030? Defining Learning Poverty and Mapping the Dimensions of the Challenge,"World Bank, Washington, DC eBooks",N/A,2021,2021,"Authored with Diana Goldemberg, João Pedro Azevedo, Silvia Montoya, Reema Nayar, Halsey Rogers, Jaime Saavedra.",Cited by 26 (OpenAlex),[link](https://doi.org/10.1596/1813-9450-9588)
academic_articles,TRUE,"Women, Infants, and Children Cash Value Benefit Redemption Choices in the Electronic Benefit Transfer Era",American Journal of Health Promotion,N/A,2021,2021,"Authored with Qi Zhang, Junzhou Zhang, Kayoung Park, Chuanyi Tang, Patrick W. McLaughlin.",Cited by 11 (OpenAlex),[link](https://doi.org/10.1177/08901171211045804)
academic_articles,TRUE,Comparing and assessing the consequences of two different approaches to measuring school effectiveness,Educational Assessment Evaluation and Accountability,N/A,2019,2019,"Authored with Cassandra M. Guarino, Jeffrey M. Wooldridge.",Cited by 7 (OpenAlex),[link](https://doi.org/10.1007/s11092-019-09308-5)
academic_articles,TRUE,The Supplemental Nutrition Assistance Program (SNAP) and the Economy: New Estimates of the SNAP Multiplier,"AgEcon Search (University of Minnesota, USA)",N/A,2019,2019,Authored with Patrick Canning.,Cited by 13 (OpenAlex),[link](https://doi.org/10.22004/ag.econ.291963)
academic_articles,TRUE,Does the precision and stability of value-added estimates of teacher performance depend on the types of students they serve?,Economics of Education Review,N/A,2018,2018,"Authored with Cassandra M. Guarino, Jeffrey M. Wooldridge.",Cited by 0 (OpenAlex),[link](https://doi.org/10.1016/j.econedurev.2018.04.001)
academic_articles,TRUE,ERS’s Supplemental Nutrition Assistance Program Policy Index Captures State Differences in Program Administration,"AgEcon Search (University of Minnesota, USA)",N/A,2018,2018,Authored with Laura Tiehen.,Cited by 0 (OpenAlex),[link](https://doi.org/10.22004/ag.econ.302494)
academic_articles,TRUE,Trends in Breastfeeding Disparities in US Infants by WIC Eligibility and Participation,Journal of Nutrition Education and Behavior,N/A,2018,2018,"Authored with Qi Zhang, Rajan Lamichhane, Mia Wright, Patrick W. McLaughlin.",Cited by 20 (OpenAlex),[link](https://doi.org/10.1016/j.jneb.2018.10.005)
academic_articles,TRUE,Using a Policy Index To Capture Trends and Differences in State Administration of USDA's Supplemental Nutrition Assistance Program,"AgEcon Search (University of Minnesota, USA)",N/A,2018,2018,"Authored with Laura Tiehen, D. Marquardt, Marquardt, David.",Cited by 19 (OpenAlex),[link](https://doi.org/10.22004/ag.econ.276250)
academic_articles,TRUE,"Enrollment without Learning: Teacher Effort, Knowledge, and Skill in Primary Schools in Africa",The Journal of Economic Perspectives,N/A,2017,2017,"Authored with Tessa Bold, Deon Filmer, Gayle Martin, Ezequiel Molina, Christophe Rockmore, Jakob Svensson, Waly Wane.",Cited by 196 (OpenAlex),[link](https://doi.org/10.1257/jep.31.4.185)
academic_articles,TRUE,The Downs and Ups of the SNAP Caseload: What Matters?,SSRN Electronic Journal,N/A,2016,2016,"Authored with Katie Fitzpatrick, Laura Tiehen.",Cited by 9 (OpenAlex),[link](https://doi.org/10.2139/ssrn.3052570)
academic_articles,TRUE,A Comparison of Student Growth Percentile and Value-Added Models of Teacher Performance,Statistics and Public Policy,N/A,2015,2015,"Authored with Cassandra M. Guarino, Mark D. Reckase, Jeffrey M. Wooldridge.",Cited by 46 (OpenAlex),[link](https://doi.org/10.1080/2330443x.2015.1034820)
academic_articles,TRUE,Evaluating Specification Tests in the Context of Value-Added Estimation,Journal of Research on Educational Effectiveness,N/A,2015,2015,"Authored with Cassandra M. Guarino, Mark D. Reckase, Jeffrey M. Wooldridge.",Cited by 16 (OpenAlex),[link](https://doi.org/10.1080/19345747.2014.981905)
academic_articles,TRUE,Left with Bias? Quantile Regression with Measurement Error in Left Hand Side Variables,Econstor (Econstor),N/A,2014,2014,NA,Cited by 0 (OpenAlex),[link](http://hdl.handle.net/10419/104744)
academic_articles,TRUE,Ranking Teachers when Teacher Value-Added is Heterogeneous Across Students,Econstor (Econstor),N/A,2014,2014,NA,Cited by 0 (OpenAlex),[link](http://hdl.handle.net/10419/104743)
academic_articles,TRUE,Three essays in labor economics and the economics of education,Michigan State University Libraries,N/A,2014,2014,NA,Cited by 0 (OpenAlex),[link](https://doi.org/10.25335/m5qz20)
academic_articles,TRUE,Review of Gathering Feedback for Teaching: Combining High-Quality Observation with Student Surveys and Achievement Gains,N/A,N/A,2012,2012,Authored with Cassandra Guarina.,Cited by 4 (OpenAlex),[link](https://nepc.colorado.edu/files/TTR-MET-Gates_0.pdf)
academic_articles,TRUE,"Test Score Measurement Error, Short-Term Knowledge, and Lagged Dependent Variables in Models of the Education Production Function.",Society for Research on Educational Effectiveness,N/A,2012,2012,"Authored with J. R. Lockwood, Daniel F. McCaffrey.",Cited by 0 (OpenAlex),[link](http://files.eric.ed.gov/fulltext/ED530364.pdf)
